open_time,open,high,low,close,volume,quote_av,trades,tb_base_av,tb_quote_av,symbol
2024-01-14 09:00:00,42846.4,42846.5,42820.8,42841.4,74.93,3209579.4455,1426,28.702,1229293.0796,BTCUSDT
2024-01-14 09:01:00,42841.3,42841.3,42817.1,42821.9,80.565,3450193.7677,1352,34.967,1497349.0162,BTCUSDT
2024-01-14 09:02:00,42821.9,42826.9,42790.0,42811.4,229.795,9836471.52859,2661,81.54,3490333.3275,BTCUSDT
2024-01-14 09:03:00,42811.3,42833.2,42811.3,42833.2,58.476,2504206.5037,1099,29.237,1252071.4706,BTCUSDT
2024-01-14 09:04:00,42833.2,42835.5,42815.6,42815.6,44.828,1920023.7971,778,20.01,857038.5643,BTCUSDT
2024-01-14 09:05:00,42814.8,42834.0,42799.3,42830.1,119.184,5102023.8544,1345,47.488,2033098.7058,BTCUSDT
2024-01-14 09:06:00,42830.0,42838.7,42816.2,42838.6,61.67,2641301.4039,1164,30.222,1294325.7318,BTCUSDT
2024-01-14 09:07:00,42838.5,42876.3,42838.5,42876.3,66.096,2832911.3661,1340,51.485,2206605.9782,BTCUSDT
2024-01-14 09:08:00,42876.3,42886.8,42836.8,42842.8,97.695,4188123.3179,1679,35.712,1531015.5476,BTCUSDT
2024-01-14 09:09:00,42842.7,42856.0,42841.0,42841.1,58.636,2512441.6833,946,36.951,1583272.6966,BTCUSDT
2024-01-14 09:10:00,42841.0,42853.0,42819.6,42821.2,50.12,2146922.4,1045,17.092,732156.8484,BTCUSDT
2024-01-14 09:11:00,42821.2,42850.7,42818.4,42850.7,60.069,2572594.4794,1362,36.281,1553831.6392,BTCUSDT
2024-01-14 09:12:00,42850.7,42896.9,42850.7,42890.9,196.355,8420511.8741,2231,148.343,6361414.4125,BTCUSDT
2024-01-14 09:13:00,42890.9,42890.9,42855.4,42865.7,56.437,2419420.5195,1063,24.927,1068478.9202,BTCUSDT
2024-01-14 09:14:00,42865.6,42872.9,42830.1,42830.1,295.931,12682137.7114,2281,48.158,2063720.9146,BTCUSDT
